GEOID,Total_population_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,OBJECTID
15000US060014219001,762,525,66,696,375
15000US060014219002,1050,621,76,974,376
15000US060014219003,993,764,13,980,377
15000US060014219004,1073,720,16,1057,378
15000US060014220001,1353,985,175,1178,379
15000US060014220002,716,275,109,607,380
15000US060014221001,813,302,142,671,381
15000US060014221002,1792,971,319,1473,382
15000US060014222001,1188,776,28,1160,383
15000US060014222002,1299,703,199,1100,384
15000US060014222003,1073,577,158,915,385
15000US060014223001,888,462,162,726,386
15000US060014223002,1403,993,89,1314,387
15000US060014223003,1562,822,128,1434,388
15000US060014224001,1967,973,152,1815,389
15000US060014224002,987,471,31,956,390
15000US060014224003,1231,791,162,1069,391
15000US060014225001,1162,748,93,1069,392
15000US060014225002,1079,514,89,990,393
15000US060014225003,1894,971,260,1634,394
15000US060014226001,1440,592,174,1266,395
15000US060014227001,919,550,156,763,396
15000US060014227002,1182,647,185,997,397
15000US060014227003,2794,1297,515,2279,398
15000US060014228001,4635,1291,720,3915,399
15000US060014228002,1747,522,287,1460,400
15000US060014228003,2266,880,147,2119,401
15000US060014229001,2234,1012,83,2151,402
15000US060014229002,2790,993,170,2620,403
15000US060014230001,1740,842,311,1429,404
15000US060014230002,1504,1030,176,1328,405
15000US060014230003,1097,828,41,1056,406
15000US060014231001,1691,897,184,1507,407
15000US060014231002,831,376,73,758,408
15000US060014231003,1081,375,162,919,409
15000US060014231004,704,413,27,677,410
15000US060014232001,1410,456,547,863,411
15000US060014232002,1522,646,262,1260,412
15000US060014233001,1603,456,200,1403,413
15000US060014233002,1642,698,279,1363,414
15000US060014233003,884,421,79,805,415
15000US060014234001,1044,619,146,898,416
15000US060014234002,1016,580,125,891,417
15000US060014234003,1847,803,278,1569,418
15000US060014234004,1335,403,302,1033,419
15000US060014235001,1206,593,209,997,420
15000US060014235002,905,428,169,736,421
15000US060014235003,1151,690,132,1019,422
15000US060014236011,1489,996,183,1306,423
15000US060014236012,1263,966,107,1156,424
15000US060014236021,1794,862,139,1655,425
15000US060014236022,1513,392,229,1284,426
15000US060014236023,2148,1019,250,1898,427
15000US060014237001,1696,930,144,1552,428
15000US060014237002,1228,1008,101,1127,429
15000US060014237003,1186,693,68,1118,430
15000US060014238001,693,497,32,661,431
15000US060014238002,1221,930,169,1052,432
15000US060014238003,1153,903,88,1065,433
15000US060014239011,921,617,112,809,434
15000US060014239012,1017,514,166,851,435
15000US060014239021,740,562,84,656,436
15000US060014239022,824,576,60,764,437
15000US060014240011,944,424,102,842,438
15000US060014240012,1117,482,164,953,439
15000US060014240013,1024,490,278,746,440
15000US060014240014,1182,322,113,1069,441
15000US060014240021,1218,347,263,955,442
15000US060014240022,1233,498,316,917,443
15000US060014251011,299,203,18,281,444
15000US060014251012,1311,732,25,1286,445
15000US060014251021,1071,407,112,959,446
15000US060014251022,1339,570,57,1282,447
15000US060014251023,670,309,64,606,448
15000US060014251031,789,364,52,737,449
15000US060014251032,879,426,27,852,450
15000US060014251033,1392,476,300,1092,451
15000US060014251041,1922,609,369,1553,452
15000US060014251042,1439,595,221,1218,453
15000US060014261001,1511,1192,41,1470,454
15000US060014261002,582,466,15,567,455
15000US060014261003,1118,635,80,1038,456
15000US060014261004,990,779,14,976,457
15000US060014261005,1260,846,94,1166,458
15000US060014261006,832,647,0,832,459
15000US060014262001,1576,1067,85,1491,460
15000US060014262002,2198,1388,145,2053,461
15000US060014262003,1134,707,158,976,462
15000US060014271001,1068,624,139,929,463
15000US060014271002,759,624,22,737,464
15000US060014271003,1732,1133,97,1635,465
